message_id,action,message_type,reason,confidence,evidence_message_ids
msg_047,notify,event,"The incoming message is an event update regarding lift maintenance, which requires notification to group members.",0.95,message_0328;message_0130
msg_046,digest,urgent,The message is urgent as it involves account verification and mentions the risk of account closure if not acted upon quickly.,0.95,message_0147;message_0148
msg_042,notify,urgent,"The incoming message is an urgent security alert regarding the main gate closing for repair truck entry, requiring immediate action from group members to clear any blocking cars.",0.95,message_0142;message_0180
msg_079,digest,urgent,"The incoming message is urgent as it warns about account block due to verification issues, urging the user to act quickly.",0.95,message_0369;message_0023
msg_098,notify,urgent,"The incoming message indicates a need for immediate decision-making regarding an appointment, which is classified as urgent.",0.95,message_0359;message_0198
msg_037,digest,personal,"The message is in Hindi and appears to be a casual conversation about someone's tank being empty, suggesting they should get fuel soon as the driver will be leaving in 10 minutes. It does not fit into any of the more formal or structured categories like urgent, event, payment, etc.",0.85,message_0269;message_0001
msg_007,digest,event,"The incoming message is an event update regarding a potluck registration, which fits the 'event' category.",0.95,message_0008;message_0097
msg_085,digest,business_update,"The incoming message is a business update from an unverified sender, indicating that the receiver's bank account will be blocked if they do not share their One-Time Password (OTP). This type of communication typically requires further verification and action by the recipient.",0.9,message_0221;message_0045
msg_001,notify,urgent,The incoming message is urgent as it informs about a critical situation where the motor room valve needs to be closed immediately due to an upcoming supply disruption.,0.95,message_0149;message_0189
msg_021,digest,payment,"The message is a payment reminder with specific instructions for the group members, indicating it's related to financial transactions.",0.95,message_0098;message_0068
msg_028,digest,promotion,"The incoming message is a promotional notification about available travel deals for Ladakh tour packages, encouraging the user to check current fares and package details in an app.",0.95,message_0315;message_0314
msg_012,digest,forward,"The incoming message is a forwarded content, likely containing health advice or tips that the sender wants to share with others in their family groups.",0.95,message_0039;message_0040
msg_064,digest,payment,"The incoming message is related to a refund approval for a ticket purchase, which falls under the payment category.",0.95,message_0365;message_0091
msg_103,digest,personal,"The message is a personal request for assistance in collecting an item, indicating it's not urgent or promotional but rather a matter of coordination.",0.95,message_0224;message_0065
msg_031,digest,urgent,"The incoming message is urgent as it pertains to a specific task (7 PM sync) that needs immediate attention, along with the need for deployment notes and incident summary. It also mentions closing action items by tonight.",0.95,message_0371;message_0230
msg_057,notify,urgent,"The incoming message indicates a critical issue with the build process, which requires immediate attention from the receiver user.",0.95,message_0266;message_0041
msg_087,digest,promotion,"The incoming message is a promotional advertisement for residential apartments, providing details on the types of apartments available (1 to 4 BHK) and their price range. It also includes instructions for interested parties to dial specific numbers.",0.95,message_0392;message_0391
msg_067,digest,payment,"The incoming message is about a maintenance payment deadline with late fees mentioned, which falls under the category of financial updates.",0.95,message_0097;message_0067
msg_039,digest,urgent,The incoming message is urgent as it pertains to a school-related matter where the sender is requesting immediate action from the receiver regarding a fee receipt for their child's field trip.,0.95,message_0364;message_0051
msg_082,notify,urgent,"The incoming message indicates a critical issue with payments failing for live users, requiring immediate attention.",0.95,message_0218;message_0118
msg_066,digest,promotion,"The incoming message is a promotional notification about available shopping offers with extra discounts, which fits the promotion category.",0.95,message_0402;message_0336
msg_049,digest,promotion,"The incoming message is a promotional notification from Shopee regarding return pickup details, which does not directly relate to the JioMart shopping bag in the image.",0.95,message_0262;message_0154
msg_015,digest,urgent,"The message indicates a critical issue with OTP verification, which could lead to account lockout if not addressed promptly.",0.95,message_0085;message_0143
msg_051,digest,promotion,"The incoming message is a promotional notification from the business sender, informing the user about an available shopping offer with potential discounts on selected products or saved items.",0.95,message_0402;message_0336
msg_097,digest,personal,"The message is a personal communication regarding the sender's current status (having dinner at home) and their intention to not be contacted immediately due to phone charging, with plans for a future conversation.",0.95,message_0366;message_0225
msg_089,digest,personal,"The message is a personal notification from Meera about an item left at the workshop, which needs to be collected by the recipient.",0.95,message_0036;message_0238
msg_053,digest,business_update,"The incoming message is a market update related to Nvidia and TSMC, which are semiconductor companies, indicating it's relevant for users interested in the sector.",0.95,message_0161;message_0411
msg_059,digest,promotion,"The incoming message is a promotional notification encouraging users to claim benefits by sharing their account number, indicating it's related to a business update or promotion.",0.95,message_0024;message_0053
msg_024,digest,promotion,"The incoming message is a promotional notification from the business sender, informing the user about available shopping offers with potential discounts on selected products or saved items.",0.95,message_0402;message_0336
msg_072,digest,urgent,"The message is urgent as it informs the user that their account will be held until they verify with an OTP, and there's a sense of urgency to act quickly before support reopens.",0.95,message_0089;message_0085
msg_036,digest,payment,"The message is a payment-related notification from a business sender, requiring the user to complete an action (verification) for their international payout profile.",0.95,message_0283;message_0128
msg_076,digest,business_update,"The incoming message is a business update regarding the status of a food order refund, which requires user action to release funds.",0.95,message_0207;message_0159
msg_055,notify,urgent,"The incoming message indicates an urgent need for immediate attention, as the sender is outside and requires a decision within ten minutes.",0.95,message_0367;message_0166
msg_102,notify,business_update,"The incoming message is a business update regarding the rollback approval, requiring users to stay online for maintenance.",0.95,message_0371;message_0230
msg_080,digest,urgent,"The message indicates an urgent situation where a gate is being closed in 10 minutes, and the sender requests that cars be removed quickly to allow for repair work. Additionally, there's mention of security personnel shifting positions.",0.95,message_0140;message_0180
msg_093,digest,business_update,"The incoming message is a business update regarding the delivery schedule for FedEx, which falls under the category of business communications.",0.95,message_0028;message_0032
msg_034,digest,greeting,"The incoming message is a friendly greeting with no urgent or promotional content, indicating it's likely part of regular group communication.",0.95,message_0171;message_0077
msg_035,digest,promotion,"The incoming message is a promotional email from RazorpayX, offering their service for international payouts to simplify vendor payments across markets.",0.95,message_0273;message_0281
msg_101,digest,personal,"The incoming message is a personal inquiry about the recipient's well-being, asking if they have eaten and offering food (dal) for them to heat up when they return. This type of message is typically exchanged between friends or family members in a casual setting.",0.95,message_0360;message_0268
msg_041,digest,business_update,"The incoming message is a business update from an verified sender, inviting the receiver to participate in a survey or session update.",0.95,message_0287;message_0354
msg_011,digest,greeting,"The incoming message is a friendly greeting with positive encouragement, which fits the 'greeting' category.",0.95,message_0014;message_0135
msg_110,digest,urgent,"The incoming message is classified as urgent because it involves a security patch failure on the workspace, which requires immediate attention to prevent access suspension.",0.95,message_0238;message_0381
msg_095,notify,payment,"The incoming message indicates a payment verification failure, which requires immediate attention to ensure the user's security.",0.95,message_0024;message_0195
msg_074,digest,promotion,"The incoming message is promoting a real estate opportunity with specific details about plots near the airport road, payment requirements, and launch price information.",0.95,message_0301;message_0204
msg_073,digest,urgent,"The incoming message is urgent as it involves a security check, failed login attempts, and a profile restriction notice that requires immediate action.",0.95,message_0024;message_0045
msg_054,digest,payment,"The message is a payment notification regarding the release of loan funds, indicating it's related to financial transactions.",0.95,message_0389;message_0026
msg_068,digest,personal,"The message is a personal communication discussing plans after an event, indicating no urgency and mentioning the intention to post a poll later.",0.95,message_0073;message_0191
msg_100,notify,urgent,"The incoming message indicates a critical situation where the payment worker retries have crossed an alert threshold, leading to potential client escalation in a short time frame.",0.95,message_0362;message_0228
msg_062,digest,event,"The incoming message is an informational event about a fire alarm test, which does not directly relate to the missing person poster or any other urgent matter.",0.95,message_0289;message_0043
msg_096,digest,personal,The incoming message is a personal notification regarding the recovery of an item (passport) found in a building's hall.,0.95,message_0096;message_0385
msg_043,notify,urgent,"The message is urgent as it informs about the immediate availability of a tanker at Gate 2, which could impact supply schedules.",0.95,message_0058;message_0142
msg_077,digest,event,"The incoming message is an event notification regarding a school field trip, requiring parent/guardian action (signing consent forms) and providing instructions for packing lunch and sending ID cards.",0.95,message_0403;message_0051
msg_081,notify,event,"The incoming message is an event update regarding a change in the pickup location for School Transport, which needs to be communicated to group members.",0.95,message_0217;message_0255
msg_025,digest,business_update,"The incoming message is a business update regarding the status of an order, which falls under the category of business updates.",0.95,message_0400;message_0004
msg_084,digest,promotion,"The incoming message is a promotional notification from Swiggy regarding their partnership with HDFC Bank, offering exclusive benefits to the receiver such as cashback and discounts on various purchases.",0.95,message_0393;message_0391
msg_022,digest,payment,"The message is a payment reminder with a deadline, indicating it's related to financial transactions.",0.95,message_0100;message_0099
